AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
4 Bill Leng Street,Coombs,2611,HOUSE,,4.5,4,2,2,341.0,HIVE Property,2022-06-23T00:00:00,2022-07-06T00:00:00,2022-09-20,SINGLE RESIDENTIAL DWELLING,511000.0,1049000.0
8 Arkwookerum Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,476.0,N/A,,2022-04-26T00:00:00,2022-09-19,SINGLE RESIDENTIAL DWELLING,,3930.0
83/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-23T00:00:00,2022-09-19,MULTIPLE UNIT DWELLING,,402900.0
7 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,300.0,N/A,,2021-09-14T00:00:00,2022-09-19,SINGLE RESIDENTIAL DWELLING,,475000.0
81/1 Dunphy Street,Wright,2611,APARTMENT,,6,3,2,2,,Hayman Partners,2022-08-25T00:00:00,2022-09-18T00:00:00,,,53900.0,736000.0
33/1 Calaby Street,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,4081.0,N/A,,2019-06-20T00:00:00,2022-09-16,MULTIPLE UNIT DWELLING,,479900.0
12 Maggie Scott Terrace,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2022-03-16T00:00:00,2022-09-16,SINGLE RESIDENTIAL DWELLING,,500000.0
2 Max Jacobs Avenue,Wright,2611,TOWNHOUSE,106,6,2,2,1,,Hayman Partners,2022-08-18T00:00:00,2022-09-15T00:00:00,,,1200000.0,640000.0
38 Vellacott Street,Denman Prospect,2611,HOUSE,0,5,3,2,2,401.0,Luxe Residential Canberra,2022-05-18T00:00:00,2022-07-13T00:00:00,2022-09-14,SINGLE RESIDENTIAL DWELLING,562000.0,1420000.0
14/41 Pearlman Street,Coombs,2611,TOWNHOUSE,131,6,3,2,2,8837.0,Luton Properties Weston Creek and Molonglo Valley,2022-06-09T00:00:00,2022-07-29T00:00:00,2022-09-14,MULTIPLE UNIT DWELLING,,753000.0
